Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_174_744,VGND,li1,348.4500,484.1600,0.000009
FILLER_174_741,VGND,li1,347.0700,484.1600,0.000009
FILLER_174_738,VGND,li1,345.6900,484.1600,0.000009
FILLER_174_735,VGND,li1,344.3100,484.1600,0.000009
FILLER_174_732,VGND,li1,342.9300,484.1600,0.000009
FILLER_174_729,VGND,li1,341.5500,484.1600,0.000009
FILLER_174_725,VGND,li1,339.7100,484.1600,0.000009
FILLER_174_722,VGND,li1,338.3300,484.1600,0.000009
FILLER_174_719,VGND,li1,336.9500,484.1600,0.000009
FILLER_174_716,VGND,li1,335.5700,484.1600,0.000009
FILLER_174_713,VGND,li1,334.1900,484.1600,0.000009
FILLER_174_710,VGND,li1,332.8100,484.1600,0.000009
FILLER_174_707,VGND,li1,331.4300,484.1600,0.000009
FILLER_174_704,VGND,li1,330.0500,484.1600,0.000011
FILLER_174_701,VGND,li1,328.6700,484.1600,0.000013
FILLER_174_697,VGND,li1,326.8300,484.1600,0.000015
FILLER_174_694,VGND,li1,325.4500,484.1600,0.000015
FILLER_174_691,VGND,li1,324.0700,484.1600,0.000018
FILLER_174_688,VGND,li1,322.6900,484.1600,0.000018
FILLER_174_685,VGND,li1,321.3100,484.1600,0.000021
FILLER_174_682,VGND,li1,319.9300,484.1600,0.000021
FILLER_174_679,VGND,li1,318.5500,484.1600,0.000024
FILLER_174_676,VGND,li1,317.1700,484.1600,0.000024
FILLER_174_673,VGND,li1,315.7900,484.1600,0.000027
FILLER_174_671,VGND,li1,314.4100,484.1600,0.000027
FILLER_174_668,VGND,li1,313.4900,484.1600,0.000029
FILLER_174_665,VGND,li1,312.1100,484.1600,0.000029
FILLER_174_662,VGND,li1,310.7300,484.1600,0.000032
FILLER_174_659,VGND,li1,309.3500,484.1600,0.000032
FILLER_174_656,VGND,li1,307.9700,484.1600,0.000034
FILLER_174_653,VGND,li1,306.5900,484.1600,0.000034
FILLER_174_641,VGND,li1,301.0700,484.1600,0.000040
FILLER_174_557,VGND,li1,262.4300,484.1600,0.000080
FILLER_174_554,VGND,li1,261.0500,484.1600,0.000080
FILLER_174_536,VGND,li1,252.5400,484.1600,0.000084
FILLER_174_533,VGND,li1,251.3900,484.1600,0.000085
FILLER_174_505,VGND,li1,238.5100,484.1600,0.000084
FILLER_174_477,VGND,li1,225.6300,484.1600,0.000081
FILLER_174_449,VGND,li1,212.7500,484.1600,0.000070
FILLER_174_421,VGND,li1,199.8700,484.1600,0.000054
FILLER_174_393,VGND,li1,186.9900,484.1600,0.000033
FILLER_174_389,VGND,li1,185.1500,484.1600,0.000029
FILLER_174_386,VGND,li1,183.7700,484.1600,0.000025
FILLER_174_383,VGND,li1,182.3900,484.1600,0.000025
FILLER_174_380,VGND,li1,181.0100,484.1600,0.000021
FILLER_174_377,VGND,li1,179.6300,484.1600,0.000017
