net,length_um
ro_counter_inst.measuring,53.07µm
_0548_,52.965µm
_0709_,52.52µm
net83,52.26µm
_0694_,51.92µm
_0750_,51.885µm
net528,51.85µm
_0675_,51.81µm
net169,51.76µm
net193,51.405µm
_0541_,51.19µm
net82,51.19µm
_0629_,50.65µm
_0674_,50.53µm
ro_counter_inst.count_1\[2\],49.995µm
net156,49.96µm
_0747_,49.87µm
ro_count_2\[2\],49.76µm
net357,49.1µm
_0537_,48.73µm
net554,48.51µm
_0545_,47.88µm
ro_count_1\[2\],47.83µm
net464,47.605µm
delay_chain_inst.measuring,47.23µm
net517,47.17µm
_0682_,46.98µm
state\[4\],46.98µm
ro_counter_inst.count_2\[5\],46.62µm
_0839_,45.885µm
net513,45.07µm
net365,44.795µm
ro_count_0\[2\],44.78µm
net279,44.53µm
net43,44.515µm
net527,44.495µm
net65,43.4µm
net76,43.245µm
delay_chain_inst.chain_1\[15\],43.225µm
ro_counter_inst.count_0\[7\],43.185µm
ro_counter_inst.count_0\[1\],42.97µm
net561,42.555µm
net487,41.98µm
ro_counter_inst.count_1\[0\],41.665µm
_0705_,41.64µm
_0696_,41.59µm
net58,41.205µm
ro_counter_inst.count_0\[6\],40.985µm
_0662_,40.75µm
net68,40.68µm
delay_chain_inst.cycle_count\[0\],40.57µm
ro_counter_inst.count_0\[0\],40.465µm
net284,40.46µm
ro_counter_inst.count_2\[4\],39.645µm
ro_counter_inst.count_0\[3\],39.42µm
_0821_,39.285µm
_0868_,39.12µm
net344,39.01µm
_0552_,38.89µm
ro_counter_inst.count_2\[0\],38.77µm
net57,38.755µm
ro_counter_inst.count_2\[6\],38.375µm
net331,38.01µm
net34,37.995µm
_0819_,37.99µm
ro_count_0\[4\],37.92µm
net581,37.775µm
net54,37.64µm
net570,36.88µm
ro_counter_inst.measurement_window\[1\],36.835µm
net59,36.68µm
net567,35.89µm
net272,35.87µm
_0563_,35.52µm
net81,34.99µm
_0888_,34.41µm
delay_chain_inst.chain_0\[2\],34.33µm
_0842_,34.185µm
net536,34.155µm
ro_counter_inst.count_2\[1\],34.15µm
delay_chain_inst.cycle_count\[1\],34.105µm
ro_counter_inst.measurement_window\[5\],33.85µm
_0766_,33.84µm
