net,length_um
in,42.33µm
net1,30.56µm
out,8.51µm
n2,3.08µm
n0,2.52µm
n1,2.52µm
n3,2.52µm
n4,2.52µm
n5,2.52µm
n7,2.52µm
n6,2.06µm
