Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_123_294,VSS,Metal1,148.5660,483.3790,0.000001
FILLER_123_287,VSS,Metal1,145.2060,483.3790,0.000000
FILLER_123_280,VSS,Metal1,141.8460,483.3790,0.000000
FILLER_123_273,VSS,Metal1,138.4860,483.3790,0.000000
FILLER_123_266,VSS,Metal1,135.1260,483.3790,0.000000
FILLER_123_259,VSS,Metal1,131.7660,483.3790,0.000000
FILLER_123_252,VSS,Metal1,128.4060,483.3790,0.000000
FILLER_123_245,VSS,Metal1,125.0460,483.3790,0.000000
FILLER_123_238,VSS,Metal1,121.6860,483.3790,0.000000
FILLER_123_231,VSS,Metal1,118.3260,483.3790,0.000000
FILLER_123_224,VSS,Metal1,114.9660,483.3790,0.000000
FILLER_123_217,VSS,Metal1,111.6060,483.3790,0.000000
FILLER_123_210,VSS,Metal1,108.2460,483.3790,0.000000
FILLER_123_203,VSS,Metal1,104.8860,483.3790,0.000000
FILLER_123_196,VSS,Metal1,101.5260,483.3790,0.000000
FILLER_123_189,VSS,Metal1,98.1660,483.3790,0.000000
FILLER_123_182,VSS,Metal1,94.8060,483.3790,0.000000
FILLER_123_175,VSS,Metal1,91.4460,483.3790,0.000000
FILLER_123_168,VSS,Metal1,88.0860,483.3790,0.000000
FILLER_123_161,VSS,Metal1,84.7260,483.3790,0.000000
FILLER_123_154,VSS,Metal1,81.3660,483.3790,0.000000
FILLER_123_147,VSS,Metal1,78.0060,483.3790,0.000000
FILLER_123_140,VSS,Metal1,74.6460,483.3790,0.000000
FILLER_123_133,VSS,Metal1,71.2860,483.3790,0.000000
FILLER_123_126,VSS,Metal1,67.9260,483.3790,0.000000
FILLER_123_119,VSS,Metal1,64.5660,483.3790,0.000000
FILLER_123_112,VSS,Metal1,61.2060,483.3790,0.000000
FILLER_123_105,VSS,Metal1,57.8460,483.3790,0.000000
FILLER_123_98,VSS,Metal1,54.4860,483.3790,0.000000
FILLER_123_91,VSS,Metal1,51.1260,483.3790,0.000000
FILLER_123_84,VSS,Metal1,47.7660,483.3790,0.000000
FILLER_123_77,VSS,Metal1,44.4060,483.3790,0.000000
FILLER_123_70,VSS,Metal1,41.0460,483.3790,0.000000
FILLER_123_63,VSS,Metal1,37.6860,483.3790,0.000000
FILLER_123_56,VSS,Metal1,34.3260,483.3790,0.000000
FILLER_123_49,VSS,Metal1,30.9660,483.3790,0.000000
FILLER_123_42,VSS,Metal1,27.6060,483.3790,0.000000
FILLER_123_35,VSS,Metal1,24.2460,483.3790,0.000000
FILLER_123_28,VSS,Metal1,20.8860,483.3790,0.000000
FILLER_123_21,VSS,Metal1,17.5260,483.3790,0.000000
FILLER_123_14,VSS,Metal1,14.1660,483.3790,0.000000
FILLER_123_7,VSS,Metal1,10.8060,483.3790,0.000000
FILLER_123_0,VSS,Metal1,7.4460,483.3790,0.000000
FILLER_122_1016,VSS,Metal1,493.6800,476.2800,0.000000
FILLER_122_1014,VSS,Metal1,492.9600,476.2800,0.000000
FILLER_122_1007,VSS,Metal1,490.8060,476.7400,0.000000
FILLER_122_1000,VSS,Metal1,487.4460,476.7400,0.000000
FILLER_122_993,VSS,Metal1,484.0860,476.7400,0.000000
FILLER_122_986,VSS,Metal1,480.7260,476.7400,0.000000
FILLER_122_979,VSS,Metal1,477.3660,476.7400,0.000000
FILLER_122_972,VSS,Metal1,474.0060,476.7400,0.000000
FILLER_122_965,VSS,Metal1,470.6460,476.7400,0.000000
FILLER_122_958,VSS,Metal1,467.2860,476.7400,0.000000
FILLER_122_951,VSS,Metal1,463.9260,476.7400,0.000000
FILLER_122_944,VSS,Metal1,460.5660,476.7400,0.000000
FILLER_122_937,VSS,Metal1,457.2060,476.7400,0.000001
FILLER_122_930,VSS,Metal1,453.8460,476.7400,0.000001
FILLER_122_923,VSS,Metal1,450.4860,476.7400,0.000001
FILLER_122_916,VSS,Metal1,447.1260,476.7400,0.000001
FILLER_122_909,VSS,Metal1,443.7660,476.7400,0.000001
FILLER_122_902,VSS,Metal1,440.4060,476.7400,0.000001
FILLER_122_895,VSS,Metal1,437.0460,476.7400,0.000001
FILLER_122_888,VSS,Metal1,433.6860,476.7400,0.000001
FILLER_122_881,VSS,Metal1,430.3260,476.7400,0.000001
FILLER_122_874,VSS,Metal1,426.9660,476.7400,0.000001
FILLER_122_867,VSS,Metal1,423.6060,476.7400,0.000001
FILLER_122_860,VSS,Metal1,420.2460,476.7400,0.000000
FILLER_122_853,VSS,Metal1,416.8860,476.7400,0.000000
FILLER_122_846,VSS,Metal1,413.5260,476.7400,0.000000
FILLER_122_839,VSS,Metal1,410.1660,476.7400,0.000000
FILLER_122_832,VSS,Metal1,406.8060,476.7400,0.000000
FILLER_122_825,VSS,Metal1,403.4460,476.7400,0.000000
FILLER_122_818,VSS,Metal1,400.0860,476.7400,0.000000
FILLER_122_811,VSS,Metal1,396.7260,476.7400,0.000000
FILLER_122_804,VSS,Metal1,393.3660,476.7400,0.000000
