Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_123_294,VDD,Metal1,148.5690,480.6580,1.199993
FILLER_123_287,VDD,Metal1,145.2090,480.6580,1.199993
FILLER_123_280,VDD,Metal1,141.8490,480.6580,1.199994
FILLER_123_273,VDD,Metal1,138.4890,480.6580,1.199994
FILLER_123_266,VDD,Metal1,135.1290,480.6580,1.199995
FILLER_123_259,VDD,Metal1,131.7690,480.6580,1.199995
FILLER_123_252,VDD,Metal1,128.4090,480.6580,1.199995
FILLER_123_245,VDD,Metal1,125.0490,480.6580,1.199996
FILLER_123_238,VDD,Metal1,121.6890,480.6580,1.199996
FILLER_123_231,VDD,Metal1,118.3290,480.6580,1.199997
FILLER_123_224,VDD,Metal1,114.9690,480.6580,1.199997
FILLER_123_217,VDD,Metal1,111.6090,480.6580,1.199997
FILLER_123_210,VDD,Metal1,108.2490,480.6580,1.199998
FILLER_123_203,VDD,Metal1,104.8890,480.6580,1.199998
FILLER_123_196,VDD,Metal1,101.5290,480.6580,1.199999
FILLER_123_189,VDD,Metal1,98.1690,480.6580,1.199999
FILLER_123_182,VDD,Metal1,94.8090,480.6580,1.199999
FILLER_123_175,VDD,Metal1,91.4490,480.6580,1.199999
FILLER_123_168,VDD,Metal1,88.0890,480.6580,1.199999
FILLER_123_161,VDD,Metal1,84.7290,480.6580,1.199999
FILLER_123_154,VDD,Metal1,81.3690,480.6580,1.199999
FILLER_123_147,VDD,Metal1,78.0090,480.6580,1.199999
FILLER_123_140,VDD,Metal1,74.6490,480.6580,1.199999
FILLER_123_133,VDD,Metal1,71.2890,480.6580,1.199999
FILLER_123_126,VDD,Metal1,67.9290,480.6580,1.199999
FILLER_123_119,VDD,Metal1,64.5690,480.6580,1.200000
FILLER_123_112,VDD,Metal1,61.2090,480.6580,1.200000
FILLER_123_105,VDD,Metal1,57.8490,480.6580,1.200000
FILLER_123_98,VDD,Metal1,54.4890,480.6580,1.200000
FILLER_123_91,VDD,Metal1,51.1290,480.6580,1.200000
FILLER_123_84,VDD,Metal1,47.7690,480.6580,1.200000
FILLER_123_77,VDD,Metal1,44.4090,480.6580,1.200000
FILLER_123_70,VDD,Metal1,41.0490,480.6580,1.200000
FILLER_123_63,VDD,Metal1,37.6890,480.6580,1.200000
FILLER_123_56,VDD,Metal1,34.3290,480.6580,1.200000
FILLER_123_49,VDD,Metal1,30.9690,480.6580,1.200000
FILLER_123_42,VDD,Metal1,27.6090,480.6580,1.200000
FILLER_123_35,VDD,Metal1,24.2490,480.6580,1.200000
FILLER_123_28,VDD,Metal1,20.8890,480.6580,1.200000
FILLER_123_21,VDD,Metal1,17.5290,480.6580,1.200000
FILLER_123_14,VDD,Metal1,14.1690,480.6580,1.200000
FILLER_123_7,VDD,Metal1,10.8090,480.6580,1.200000
FILLER_123_0,VDD,Metal1,7.4490,480.6580,1.200000
FILLER_122_1016,VDD,Metal1,493.6800,480.0600,1.200000
FILLER_122_1014,VDD,Metal1,492.9600,480.0600,1.200000
FILLER_122_1007,VDD,Metal1,490.8090,479.4610,1.200000
FILLER_122_1000,VDD,Metal1,487.4490,479.4610,1.200000
FILLER_122_993,VDD,Metal1,484.0890,479.4610,1.200000
FILLER_122_986,VDD,Metal1,480.7290,479.4610,1.200000
FILLER_122_979,VDD,Metal1,477.3690,479.4610,1.200000
FILLER_122_972,VDD,Metal1,474.0090,479.4610,1.200000
FILLER_122_965,VDD,Metal1,470.6490,479.4610,1.200000
FILLER_122_958,VDD,Metal1,467.2890,479.4610,1.200000
FILLER_122_951,VDD,Metal1,463.9290,479.4610,1.200000
FILLER_122_944,VDD,Metal1,460.5690,479.4610,1.200000
FILLER_122_937,VDD,Metal1,457.2090,479.4610,1.200000
FILLER_122_930,VDD,Metal1,453.8490,479.4610,1.200000
FILLER_122_923,VDD,Metal1,450.4890,479.4610,1.200000
FILLER_122_916,VDD,Metal1,447.1290,479.4610,1.200000
FILLER_122_909,VDD,Metal1,443.7690,479.4610,1.200000
FILLER_122_902,VDD,Metal1,440.4090,479.4610,1.200000
FILLER_122_895,VDD,Metal1,437.0490,479.4610,1.200000
FILLER_122_888,VDD,Metal1,433.6890,479.4610,1.200000
FILLER_122_881,VDD,Metal1,430.3290,479.4610,1.200000
FILLER_122_874,VDD,Metal1,426.9690,479.4610,1.200000
FILLER_122_867,VDD,Metal1,423.6090,479.4610,1.200000
FILLER_122_860,VDD,Metal1,420.2490,479.4610,1.200000
FILLER_122_853,VDD,Metal1,416.8890,479.4610,1.200000
FILLER_122_846,VDD,Metal1,413.5290,479.4610,1.200000
FILLER_122_839,VDD,Metal1,410.1690,479.4610,1.200000
FILLER_122_832,VDD,Metal1,406.8090,479.4610,1.200000
FILLER_122_825,VDD,Metal1,403.4490,479.4610,1.200000
FILLER_122_818,VDD,Metal1,400.0890,479.4610,1.200000
FILLER_122_811,VDD,Metal1,396.7290,479.4610,1.200000
FILLER_122_804,VDD,Metal1,393.3690,479.4610,1.199999
FILLER_122_797,VDD,Metal1,390.0090,479.4610,1.199999
FILLER_122_790,VDD,Metal1,386.6490,479.4610,1.199999
FILLER_122_783,VDD,Metal1,383.2890,479.4610,1.199999
FILLER_122_776,VDD,Metal1,379.9290,479.4610,1.199999
FILLER_122_769,VDD,Metal1,376.5690,479.4610,1.199999
FILLER_122_762,VDD,Metal1,373.2090,479.4610,1.199999
FILLER_122_755,VDD,Metal1,369.8490,479.4610,1.199999
FILLER_122_748,VDD,Metal1,366.4890,479.4610,1.199999
FILLER_122_741,VDD,Metal1,363.1290,479.4610,1.199999
FILLER_122_734,VDD,Metal1,359.7690,479.4610,1.199999
FILLER_122_727,VDD,Metal1,356.4090,479.4610,1.199999
FILLER_122_720,VDD,Metal1,353.0490,479.4610,1.199999
FILLER_122_713,VDD,Metal1,349.6890,479.4610,1.199999
FILLER_122_706,VDD,Metal1,346.3290,479.4610,1.199999
FILLER_122_699,VDD,Metal1,342.9690,479.4610,1.199999
FILLER_122_692,VDD,Metal1,339.6090,479.4610,1.199999
FILLER_122_685,VDD,Metal1,336.2490,479.4610,1.199999
FILLER_122_678,VDD,Metal1,332.8890,479.4610,1.199999
FILLER_122_671,VDD,Metal1,329.5290,479.4610,1.199999
FILLER_122_664,VDD,Metal1,326.1690,479.4610,1.199999
FILLER_122_657,VDD,Metal1,322.8090,479.4610,1.199998
FILLER_122_650,VDD,Metal1,319.4490,479.4610,1.199998
FILLER_122_643,VDD,Metal1,316.0890,479.4610,1.199993
