net,length_um
ro_count_1\[3\],51.46µm
_0594_,51.28µm
ro_counter_inst.count_2\[7\],51.28µm
ro_count_0\[2\],51.1µm
_0568_,50.78µm
net201,50.7µm
net200,48.94µm
_0727_,48.9µm
net130,48.265µm
net165,47.96µm
ro_counter_inst.count_2\[3\],47.77µm
net92,47.6µm
_0715_,46.66µm
_0714_,46.62µm
delay_chain_inst.cycle_count\[5\],46.34µm
delay_count_reg_2[14],45.86µm
ro_counter_inst.count_2\[6\],45.74µm
_0549_,44.56µm
_0684_,44.46µm
ro_count_1\[0\],44.4µm
_0570_,44.34µm
delay_chain_inst.cycle_count\[6\],44.3µm
delay_count_reg_2[15],44.3µm
net45,44.04µm
clk_stuck_high,43.88µm
net198,43.72µm
net152,43.48µm
delay_chain_inst.delay_count_2\[3\],43.44µm
ro_count_reg_0[1],43.34µm
net70,43.32µm
_0539_,43.1µm
delay_count_reg_0[0],42.84µm
clk_fast,42.04µm
delay_chain_inst.delay_count_2\[9\],41.72µm
ro_counter_inst.count_1\[3\],41.7µm
ro_count_1\[4\],41.64µm
ro_count_reg_0[2],41.5µm
_0724_,41.14µm
net87,41.12µm
ro_count_reg_1[6],40.62µm
net364,40.4µm
net169,40.38µm
ro_count_2\[4\],40.18µm
net154,39.74µm
ro_counter_inst.measurement_window\[0\],39.5µm
net423,39.42µm
ro_count_0\[7\],39.24µm
ro_count_1\[1\],39.16µm
_0624_,38.74µm
ro_count_reg_2[7],38.66µm
_0630_,38.64µm
net79,38.28µm
ro_counter_inst.measurement_window\[1\],37.92µm
net195,37.79µm
net321,37.72µm
ro_count_reg_0[3],37.7µm
net310,37.5µm
net82,37.42µm
net89,37.38µm
_0587_,37.295µm
net13,36.82µm
net65,36.7µm
delay_count_reg_1[13],36.28µm
net67,36.2µm
corner_class_reg[0],36.02µm
net304,35.86µm
net203,35.84µm
net93,35.8µm
delay_count_reg_0[2],35.74µm
_0689_,35.66µm
ro_counter_inst.measurement_window\[4\],35.61µm
delay_count_reg_1[1],35.46µm
net419,35.4µm
delay_chain_inst.delay_count_2\[2\],35.32µm
_0602_,35.14µm
ro_count_reg_2[4],35.1µm
net182,34.98µm
ro_count_reg_1[2],34.9µm
ro_count_reg_0[4],34.82µm
ro_count_reg_0[6],34.74µm
net4,34.4µm
ro_count_reg_1[7],34.4µm
delay_count_reg_1[15],34.18µm
net137,34µm
ro_count_reg_0[5],33.64µm
net66,33.56µm
delay_count_reg_2[12],33.52µm
delay_count_reg_1[2],33.5µm
net187,33.5µm
net322,33.5µm
net68,33.42µm
_0592_,33.34µm
ro_count_reg_0[0],33.28µm
delay_chain_inst.chain_1\[15\],33.22µm
delay_count_reg_1[3],33.2µm
delay_count_reg_2[10],33.18µm
net71,33.11µm
net185,33.02µm
net126,33µm
net340,32.4µm
delay_count_reg_1[0],32.28µm
delay_count_reg_1[12],32.22µm
ro_count_0\[1\],32.16µm
delay_chain_inst.delay_count_2\[6\],31.84µm
delay_count_reg_2[4],31.82µm
delay_count_reg_2[11],31.7µm
delay_count_reg_0[6],31.66µm
net62,31.62µm
ro_count_2\[2\],31.22µm
ro_count_reg_1[1],31.18µm
ro_count_reg_1[5],31.18µm
net173,31.18µm
net192,31.02µm
ro_count_reg_1[3],30.98µm
net72,30.9µm
net61,30.84µm
net166,30.82µm
net2,30.74µm
clock_status_reg[3],30.7µm
ro_count_reg_0[7],30.3µm
net44,29.78µm
_0610_,29.7µm
delay_chain_inst.chain_0_done,29.7µm
ro_counter_inst.measuring,29.67µm
corner_class_reg[1],29.58µm
ro_count_reg_1[4],29.44µm
net418,29µm
delay_chain_inst.delay_count_2\[4\],28.895µm
net12,28.88µm
delay_count_reg_0[3],28.86µm
delay_chain_inst.chain_1_done,28.62µm
delay_count_reg_2[7],28.56µm
net84,28.46µm
_0000_,28.32µm
busy,28.28µm
state\[2\],28.22µm
status_reg[4],27.98µm
ro_counter_inst.measurement_window\[7\],27.88µm
delay_chain_inst.delay_count_1\[5\],27.6µm
_0626_,27.56µm
net32,27.56µm
net463,27.52µm
net316,27.42µm
ro_count_reg_2[2],27.26µm
status_reg[0],27.1µm
_0646_,27.06µm
net18,27.06µm
ro_count_2\[1\],27.06µm
done,27.02µm
net75,26.98µm
net466,26.98µm
net298,26.88µm
net327,26.68µm
delay_count_reg_2[9],26.64µm
clock_status_reg[1],26.62µm
_0667_,26.52µm
net320,26.5µm
net346,26.36µm
_0644_,26.3µm
net196,26.22µm
net206,26.2µm
clock_status_reg[5],26.14µm
delay_chain_inst.delay_count_0\[2\],26.04µm
ro_count_reg_2[5],26µm
net465,25.92µm
net278,25.76µm
ro_count_reg_1[0],25.74µm
ro_count_reg_2[6],25.74µm
delay_count_reg_1[6],25.72µm
delay_chain_inst.delay_count_0\[6\],25.66µm
net325,25.66µm
delay_count_reg_2[8],25.56µm
ro_count_reg_2[0],25.32µm
net81,25.26µm
delay_count_reg_2[2],25.26µm
net15,25.22µm
ro_count_0\[0\],25.12µm
net23,25.02µm
ro_count_1\[5\],24.96µm
status_reg[6],24.92µm
delay_chain_inst.delay_count_2\[5\],24.84µm
status_reg[3],24.82µm
delay_count_reg_0[1],24.8µm
delay_count_reg_1[5],24.8µm
delay_count_reg_0[7],24.76µm
delay_chain_inst.delay_count_2\[14\],24.74µm
status_reg[2],24.52µm
delay_count_reg_1[7],24.42µm
ro_counter_inst.measurement_window\[3\],24.34µm
_0668_,23.74µm
start,23.72µm
clock_status_reg[0],23.6µm
_0671_,23.58µm
delay_count_reg_2[0],23.38µm
_0631_,23.2µm
delay_chain_inst.delay_count_2\[8\],23.18µm
ro_count_2\[5\],23.16µm
