2026-06-19 09:35:31 +0200: Memory Usage (452704K) : baspoly_pin has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : psd_drw has 36955 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : nldb_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : digibnd_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : via1_drw has 9817 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : backmetal1_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : backmetal1_pin has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : backmetal1_mask has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : backmetal1_filler has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : backmetal1_nofill has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : backmetal1_slit has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : backmetal1_text has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : backmetal1_opc has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : backmetal1_noqrc has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : backmetal1_res has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : backmetal1_iprobe has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : backmetal1_diffprb has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : backpassiv_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : res_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : sram_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : trans_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : ind_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : ind_pin has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : ind_text has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : salblock_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : via2_drw has 8593 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : metal3_drw has 8949 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : metal3_pin has 58 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : metal3_mask has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : metal3_filler has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : metal3_nofill has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : metal3_slit has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : metal3_text has 58 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : metal3_opc has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : metal3_noqrc has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : metal3_res has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : metal3_iprobe has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : metal3_diffprb has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : nwell_drw has 18465 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : nwell_pin has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : nbulay_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : nbulay_pin has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : nbulay_block has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : emwind_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : emwind_opc has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : deepco_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : deepco_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : mim_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : edgeseal_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : edgeseal_bound has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : substrate_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : substrate_text has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : dfpad_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : dfpad_pillar has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452704K) : dfpad_sbump has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452880K) : thickgateox_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452880K) : pldb_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452880K) : pwell_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (452880K) : pwell_pin has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453056K) : pwell_block has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453056K) : ic_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : via3_drw has 4431 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : metal4_drw has 1835 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : metal4_pin has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : metal4_mask has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : metal4_filler has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : metal4_nofill has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : metal4_slit has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : metal4_text has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : metal4_opc has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : metal4_noqrc has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : metal4_res has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : metal4_iprobe has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : metal4_diffprb has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : heattrans_drw has 0 polygons
